Name,Title,Image URL,Local Image Path
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
Mr Lawrence WONG,Prime Minister and Minister for Finance,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Lawrence-Wong_Aug-18.ashx?h=186&w=138&la=en&hash=96F34AA1EFC5358215224A8C9E269006,downloaded_images/Mr_Lawrence_WONG.jpg
Mr LEE Hsien Loong,Senior Minister,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Mr-LEE-Hsien-Loong/Mr-LEE-Hsien-Loong.ashx?h=187&w=138&la=en&hash=DD8EC1197D821BA8935EBB9F9C4E5DEB,downloaded_images/Mr_LEE_Hsien_Loong.jpg
Mr GAN Kim Yong,Deputy Prime Minister and Minister for Trade and Industry,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Min-Gan-jpg.ashx?h=181&w=134&la=en&hash=707BACBD39DE13E774C2BD5C7EE42887,downloaded_images/Mr_GAN_Kim_Yong.jpg
Mr HENG Swee Keat,Deputy Prime Minister,https://www.pmo.gov.sg/-/media/PMO/Cabinet/DPM_HengSweeKeat_CVphoto-2-jpg.ashx?h=189&w=150&la=en&hash=2041715283143AE37C5ADCE9313608CB,downloaded_images/Mr_HENG_Swee_Keat.jpg
Mr TEO Chee Hean,Senior Minister and Coordinating Minister for National Security,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Mr-TEO-Chee-Hean.ashx?h=187&w=138&la=en&hash=05BDCA255ACEE43AE13164A61FAAB59B,downloaded_images/Mr_TEO_Chee_Hean.jpg
Dr NG Eng Hen,Minister for Defence,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Dr-NG-Eng-Hen.ashx?h=187&w=138&la=en&hash=C35535E743606D2F7E7F4AAC49BEF54C,downloaded_images/Dr_NG_Eng_Hen.jpg
Dr Vivian BALAKRISHNAN,Minister for Foreign Affairs,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Dr-Vivian-BALAKRISHNAN-jpg.ashx?h=189&w=140&la=en&hash=D0673B3953475DD375E58CEA1625FB6C,downloaded_images/Dr_Vivian_BALAKRISHNAN.jpg
Mr K Shanmugam,Minister for Home Affairs and Minister for Law,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Shan_0.ashx?h=187&w=138&la=en&hash=D0B6D3782DDFB36D9C70942B8BF9786A,downloaded_images/Mr_K_Shanmugam.jpg
Ms Grace FU Hai Yien,Minister for Sustainability and the Environment and Minister-in-charge of Trade Relations,https://www.pmo.gov.sg/-/media/PMO/Cabinet/1344997637338_0.ashx?h=189&w=140&la=en&hash=12ACF5CC0A95EDB5D14188936CF9FAD0,downloaded_images/Ms_Grace_FU_Hai_Yien.jpg
Mr CHAN Chun Sing,Minister for Education,https://www.pmo.gov.sg/-/media/PMO/Cabinet/1378711047103_0.ashx?h=180&w=139&la=en&hash=D569E89E5B2BDEF84361D06D3D66F9D1,downloaded_images/Mr_CHAN_Chun_Sing.jpg
Mr MASAGOS Zulkifli,Minister for Social and Family Development and Second Minister for Health,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Mr-Masagos_Apr-2023-jpg.ashx?h=189&w=140&la=en&hash=89A58E8EE075DFBD8A95A59AE6BD1BE2,downloaded_images/Mr_MASAGOS_Zulkifli.jpg
Mr ONG Ye Kung,Minister for Health,https://www.pmo.gov.sg/-/media/PMO/Cabinet/oyk1/Min-Ong-Ye-Kung.ashx?h=189&w=171&la=en&hash=2C4D62FBEC97212891F79D91F4A3CD6F,downloaded_images/Mr_ONG_Ye_Kung.jpg
Mr Desmond LEE,Minister for National Development,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Min-Desmond-Lee_May2022-png.ashx?h=179&w=140&la=en&hash=9F495BB63A4E7FA0157000BDC3B6FF27,downloaded_images/Mr_Desmond_LEE.jpg
Mrs Josephine TEO,Minister for Communications and Information and Second Minister for Home Affairs,https://www.pmo.gov.sg/-/media/PMO/Cabinet/JosephineTeo.ashx?h=189&w=140&la=en&hash=CD9AFDBB4E4645C2F37AE72AB6F4A31C,downloaded_images/Mrs_Josephine_TEO.jpg
Ms Indranee THURAI RAJAH,"Minister, Prime Minister's Office, Second Minister for Finance and Second Minister for National Development",https://www.pmo.gov.sg/-/media/PMO/Cabinet/Indranee-Rajah_0.ashx?h=186&w=138&la=en&hash=D24B4C987F46EA04B147EE0781795F69,downloaded_images/Ms_Indranee_THURAI_RAJAH.jpg
Dr MOHAMAD MALIKI Bin Osman,"Minister, Prime Minister's Office, Second Minister for Education and Second Minister for Foreign Affairs",https://www.pmo.gov.sg/-/media/PMO/Cabinet/Maliki-jpg.ashx?h=179&w=140&la=en&hash=287AECEBB82C03243AAE0DFE04E06ED7,downloaded_images/Dr_MOHAMAD_MALIKI_Bin_Osman.jpg
Mr Edwin TONG,"Minister for Culture, Community and Youth and Second Minister for Law",https://www.pmo.gov.sg/-/media/PMO/Cabinet/Edwin-Tong-jpg.ashx?h=189&w=140&la=en&hash=FBA3EF127DE1CD4A9D8A0A74234428D2,downloaded_images/Mr_Edwin_TONG.jpg
Dr TAN See Leng,Minister for Manpower and Second Minister for Trade and Industry,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Tan-See-Leng-png.ashx?h=178&w=139&la=en&hash=C0EDC45D6F328511D67149D5A6B12768,downloaded_images/Dr_TAN_See_Leng.jpg
Mr CHEE Hong Tat,Minister for Transport and Second Minister for Finance,https://www.pmo.gov.sg/-/media/PMO/Cabinet/Chee-Hong-Tat_website-jpg.ashx?h=187&w=138&la=en&hash=1EA229546CAD7A0BE135B5E9C369F00F,downloaded_images/Mr_CHEE_Hong_Tat.jpg
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
No name found,No title found,No image found,No image downloaded
